policy,gamma,model_seed,total_cost,trace_seed
greedy8,0.97,804,90.52224071130509,3304002
greedy8,0.97,804,81.78448683321476,3304003
greedy8,0.97,804,64.53161961883306,3304004
greedy8,0.97,804,99.08224613368512,3304005
greedy8,0.97,804,94.00734051465236,3304006
greedy8,0.97,804,113.07663123604519,3304007
greedy8,0.97,804,71.31725180149078,3304008
greedy8,0.97,804,96.56375316415996,3304009
greedy8,0.97,804,88.56319835186005,3304010
greedy8,0.97,804,93.7720987945795,3304011
greedy8,0.97,804,91.56807366907597,3304012
greedy8,0.97,804,80.12893377393485,3304013
greedy8,0.97,804,74.73799563646317,3304014
greedy8,0.97,804,84.41413829028606,3304015
greedy8,0.97,804,84.25630077719688,3304016
greedy8,0.97,804,79.16474429200215,3304017
greedy8,0.97,804,104.80822375818111,3304018
greedy8,0.97,804,94.25803750753403,3304019
greedy8,0.97,805,98.77270808893923,3305000
greedy8,0.97,805,98.45640475157886,3305001
greedy8,0.97,805,64.80220419168472,3305002
greedy8,0.97,805,90.3705803243119,3305003
greedy8,0.97,805,110.20472028955368,3305004
greedy8,0.97,805,97.66647590558863,3305005
greedy8,0.97,805,93.25419637560844,3305006
greedy8,0.97,805,93.80329284071922,3305007
greedy8,0.97,805,103.31699705172771,3305008
greedy8,0.97,805,84.12400491535664,3305009
greedy8,0.97,805,91.05569656193256,3305010
greedy8,0.97,805,71.74578955620527,3305011
greedy8,0.97,805,79.16689759492874,3305012
greedy8,0.97,805,92.01625597476959,3305013
greedy8,0.97,805,69.46305140256882,3305014
greedy8,0.97,805,87.88500134795905,3305015
greedy8,0.97,805,91.08654771468616,3305016
greedy8,0.97,805,77.66453123092651,3305017
greedy8,0.97,805,110.49135561728477,3305018
greedy8,0.97,805,82.18073520213366,3305019
greedy8,0.97,806,106.30730142287995,3306000
greedy8,0.97,806,89.94516089558601,3306001
greedy8,0.97,806,95.5410527676344,3306002
greedy8,0.97,806,62.69143572449684,3306003
greedy8,0.97,806,96.26995973922311,3306004
greedy8,0.97,806,96.12572250515223,3306005
greedy8,0.97,806,101.6438442947856,3306006
greedy8,0.97,806,108.2099912840346,3306007
greedy8,0.97,806,88.78180456161499,3306008
greedy8,0.97,806,89.72877368330956,3306009
greedy8,0.97,806,97.3081662696022,3306010
greedy8,0.97,806,71.42185384333133,3306011
greedy8,0.97,806,77.03593048602343,3306012
greedy8,0.97,806,81.94240743666887,3306013
greedy8,0.97,806,107.98844529474232,3306014
greedy8,0.97,806,92.24564759729672,3306015
greedy8,0.97,806,84.0020442545414,3306016
greedy8,0.97,806,85.50487906485796,3306017
greedy8,0.97,806,82.8951163828373,3306018
greedy8,0.97,806,87.28494248688222,3306019
greedy8,0.97,807,79.74818849712611,3307000
greedy8,0.97,807,99.69041436204003,3307001
greedy8,0.97,807,90.95408547073603,3307002
