variant,gamma,model_seed,total_cost,trace_seed
full_action_q_dqn,0.95,803,74.78667336851359,3303003
full_action_q_dqn,0.95,803,69.43817322850228,3303004
full_action_q_dqn,0.95,803,89.56444905102254,3303005
full_action_q_dqn,0.95,803,74.03582002222538,3303006
full_action_q_dqn,0.95,803,88.16305255889893,3303007
full_action_q_dqn,0.95,803,83.0665674611926,3303008
full_action_q_dqn,0.95,803,81.72773518562317,3303009
full_action_q_dqn,0.95,803,77.60392327606678,3303010
full_action_q_dqn,0.95,803,75.1126216351986,3303011
full_action_q_dqn,0.95,803,70.36177097260952,3303012
full_action_q_dqn,0.95,803,78.106061629951,3303013
full_action_q_dqn,0.95,803,64.88006444424391,3303014
full_action_q_dqn,0.95,803,79.30037907510996,3303015
full_action_q_dqn,0.95,803,56.61620323359966,3303016
full_action_q_dqn,0.95,803,84.89125200361013,3303017
full_action_q_dqn,0.95,803,71.59436422586441,3303018
full_action_q_dqn,0.95,803,97.98825420737266,3303019
full_action_q_dqn,0.95,804,73.84122371822596,3304000
full_action_q_dqn,0.95,804,79.37776731848717,3304001
full_action_q_dqn,0.95,804,81.59296785444022,3304002
full_action_q_dqn,0.95,804,72.99739115983247,3304003
full_action_q_dqn,0.95,804,56.6004956766963,3304004
full_action_q_dqn,0.95,804,82.13055681586266,3304005
full_action_q_dqn,0.95,804,85.922167339921,3304006
full_action_q_dqn,0.95,804,97.92983087897301,3304007
full_action_q_dqn,0.95,804,62.52029238641262,3304008
full_action_q_dqn,0.95,804,83.71861353516579,3304009
full_action_q_dqn,0.95,804,79.35182552188635,3304010
full_action_q_dqn,0.95,804,81.06379520893097,3304011
full_action_q_dqn,0.95,804,74.16098289340735,3304012
full_action_q_dqn,0.95,804,76.84968011975289,3304013
full_action_q_dqn,0.95,804,66.60573412925005,3304014
full_action_q_dqn,0.95,804,79.92289778143167,3304015
full_action_q_dqn,0.95,804,69.84606795758009,3304016
full_action_q_dqn,0.95,804,64.623526096344,3304017
full_action_q_dqn,0.95,804,89.37853311896325,3304018
full_action_q_dqn,0.95,804,82.14544271677732,3304019
full_action_q_dqn,0.95,805,88.17737395465375,3305000
full_action_q_dqn,0.95,805,84.08860497921705,3305001
full_action_q_dqn,0.95,805,59.95492907613516,3305002
full_action_q_dqn,0.95,805,76.98936354517937,3305003
full_action_q_dqn,0.95,805,93.2799050450325,3305004
full_action_q_dqn,0.95,805,90.76099119335413,3305005
full_action_q_dqn,0.95,805,75.76957323402166,3305006
full_action_q_dqn,0.95,805,84.85771033316851,3305007
full_action_q_dqn,0.95,805,90.12257084548473,3305008
full_action_q_dqn,0.95,805,75.2098833322525,3305009
full_action_q_dqn,0.95,805,84.68385313153267,3305010
full_action_q_dqn,0.95,805,65.0015368297696,3305011
full_action_q_dqn,0.95,805,70.41251172870398,3305012
full_action_q_dqn,0.95,805,84.60032476484776,3305013
full_action_q_dqn,0.95,805,59.20384926050902,3305014
full_action_q_dqn,0.95,805,75.19269958436489,3305015
full_action_q_dqn,0.95,805,74.42406468391418,3305016
full_action_q_dqn,0.95,805,66.96374019235373,3305017
full_action_q_dqn,0.95,805,96.12967184334994,3305018
full_action_q_dqn,0.95,805,78.27272676974535,3305019
full_action_q_dqn,0.95,806,89.05643504858017,3306000
full_action_q_dqn,0.95,806,73.28557383418084,3306001
full_action_q_dqn,0.95,806,84.8734660089016,3306002
full_action_q_dqn,0.95,806,55.6757185831666,3306003
full_action_q_dqn,0.95,806,79.1841284185648,3306004
full_action_q_dqn,0.95,806,89.74156253039837,3306005
full_action_q_dqn,0.95,806,82.00735621452331,3306006
full_action_q_dqn,0.95,806,95.20614275336266,3306007
full_action_q_dqn,0.95,806,80.71265695244074,3306008
full_action_q_dqn,0.95,806,83.55530110746622,3306009
full_action_q_dqn,0.95,806,84.00851745009422,3306010
full_action_q_dqn,0.95,806,62.411682994663714,3306011
full_action_q_dqn,0.95,806,73.5980489730835,3306012
full_action_q_dqn,0.95,806,73.08316049128771,3306013
full_action_q_dqn,0.95,806,88.06322141885758,3306014
full_action_q_dqn,0.95,806,77.85194298774005,3306015
full_action_q_dqn,0.95,806,76.65595297515392,3306016
full_action_q_dqn,0.95,806,70.10026836395264,3306017
