policy,gamma,model_seed,total_cost,trace_seed
mpc4,0.99,819,102.53160450409345,3319004
mpc4,0.99,819,81.35829552371311,3319005
mpc4,0.99,819,76.8480855613947,3319006
mpc4,0.99,819,106.00667974532988,3319007
mpc4,0.99,819,91.64760310362831,3319008
mpc4,0.99,819,94.10174643993378,3319009
mpc4,0.99,819,89.72082594633656,3319010
mpc4,0.99,819,85.12793432026847,3319011
mpc4,0.99,819,80.7319671139121,3319012
mpc4,0.99,819,88.84803339093924,3319013
mpc4,0.99,819,83.28816077113152,3319014
mpc4,0.99,819,99.81634693701047,3319015
mpc4,0.99,819,73.51049466431141,3319016
mpc4,0.99,819,85.90552380979061,3319017
mpc4,0.99,819,81.23936352878809,3319018
mpc4,0.99,819,85.22771376528601,3319019
