scenario,policy,model_seed,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction
burst,centered_full_action_dqn_preview_0p85,816,93.13244656547904,30.863977320492268,62.26846922785044,1.5598975935485213,17436.84300403595,967.687331110239,0.0,27.7,0.0,0.9,0.0,0.19172897338867187,0.0,0.0,0.0,0.28671875,0.71328125
burst,centered_full_action_dqn_preview_0p85,817,96.40099419474602,31.53386242650449,64.86713180214167,1.5783327762968837,17899.744960308075,996.8006086461246,0.0,28.45,0.0,1.35,0.0,0.19111417084932328,0.0,0.0,0.0046875,0.30546875,0.68984375
burst,centered_full_action_dqn_preview_0p85,818,97.68464100018144,31.5796883713454,66.1049528016895,1.575671839946881,17818.0075340271,1006.1643166579306,0.0,28.9,0.0,1.35,0.0,0.19136463329195977,0.0,0.0,0.00390625,0.32265625,0.6734375
burst,centered_full_action_dqn_preview_0p85,819,95.78456104502081,32.47825209181756,63.30630888558924,1.576838043006137,17948.574939727783,795.776492446661,0.0,28.2,0.0,0.9,0.0,0.19242409914731978,0.0,0.0,0.0,0.19296875,0.80703125
burst,centered_full_action_dqn_preview_1p15,800,96.91146808408202,31.162778743356466,65.74868929676711,1.5711622648872434,17628.212208747864,1014.4674455024302,0.0,28.75,0.0,1.5,0.0,0.1919506959617138,0.0,0.0,0.00234375,0.3125,0.68515625
burst,centered_full_action_dqn_preview_1p15,801,98.80173409670591,32.4454080298543,66.35632616966963,1.5910925761330872,18199.18686695099,839.9509511142969,0.0,29.05,0.0,1.2,0.0,0.19209709241986275,0.0,0.0,0.0,0.2265625,0.7734375
burst,centered_full_action_dqn_preview_1p15,802,96.26652750015259,31.76173702776432,64.50479043997824,1.5884878267068416,18121.84728050232,1060.580473935604,0.0,28.6,0.0,1.5,0.0,0.19062386229634284,0.0,0.0,0.0,0.3546875,0.6453125
burst,centered_full_action_dqn_preview_1p15,803,93.72279144756496,30.769349528104065,62.95344182223082,1.5616864183917643,17399.716119766235,980.9712850213051,0.0,28.25,0.0,0.8,0.0,0.19213239401578902,0.0,0.0,0.0,0.2984375,0.7015625
burst,centered_full_action_dqn_preview_1p15,804,96.74086914159358,31.353968612849712,65.38690047845245,1.5739894893020392,17669.70214958191,914.7692582875491,0.0,29.05,0.0,1.4,0.0,0.19290023520588875,0.0,0.0,0.0,0.2515625,0.7484375
burst,centered_full_action_dqn_preview_1p15,805,98.65243419662117,32.32188598550856,66.33054824389517,1.609313384629786,18433.914346027374,1074.237081106007,0.0,28.9,0.0,1.5,0.0,0.19050010815262794,0.0,0.0,0.0203125,0.340625,0.6390625
burst,centered_full_action_dqn_preview_1p15,806,97.40829839974643,31.640009513124824,65.76828886315226,1.5877050084527582,17877.627953243256,1111.4634224146605,0.0,28.6,0.0,1.65,0.0,0.19138013869524,0.0,0.0,0.0,0.34140625,0.65859375
burst,centered_full_action_dqn_preview_1p15,807,97.76261304192245,32.39021323621273,65.3723998425901,1.5837745250668376,17970.505348682404,800.0425189852715,0.0,28.55,0.0,1.05,0.0,0.19232528731226922,0.0,0.0,0.0,0.1890625,0.8109375
burst,centered_full_action_dqn_preview_1p15,808,98.07913185164333,31.3374885071069,66.74164337173104,1.597817462682724,18068.81467523575,1162.39290099293,0.0,29.2,0.0,1.6,0.0,0.19162835106253623,0.0,0.0,0.01796875,0.38125,0.60078125
burst,centered_full_action_dqn_preview_1p15,809,100.92851577103139,32.31743694543839,68.61107897982001,1.5970938415732234,18200.65371656418,1008.7662434488535,0.0,29.75,0.0,1.65,0.0,0.1920953206717968,0.0,0.0,0.0,0.30390625,0.69609375
burst,centered_full_action_dqn_preview_1p15,810,95.48151557728649,30.72706757262349,64.75444794841111,1.5749865854158998,17678.96505470276,1106.478194871545,0.0,28.4,0.0,1.1,0.0,0.19110961481928826,0.0,0.0,0.01484375,0.36875,0.61640625
burst,centered_full_action_dqn_preview_1p15,811,99.23701146133244,32.182254603132606,67.05475699082017,1.5866354248020798,18028.10749578476,891.6943430811167,0.0,29.2,0.0,1.6,0.0,0.19096107184886932,0.0,0.0,0.0,0.2421875,0.7578125
burst,centered_full_action_dqn_preview_1p15,812,93.15338737390935,31.073228646069765,62.080158799737696,1.577827772544697,17875.33136873245,1113.9101358681917,0.0,27.9,0.0,1.7,0.0,0.1920882284641266,0.0,0.0,0.0,0.3734375,0.6265625
burst,centered_full_action_dqn_preview_1p15,813,97.79861963793635,31.555460321158172,66.24315940804779,1.5883887364063412,17940.24938287735,1043.1783217072486,0.0,29.15,0.0,1.45,0.0,0.1909714326262474,0.0,0.0,0.0046875,0.32265625,0.67265625
burst,centered_full_action_dqn_preview_1p15,814,95.84434322789312,31.408259876444937,64.43608328811824,1.5789432710502296,17809.273254776002,1085.5299921564758,0.0,28.6,0.0,1.35,0.0,0.19202678874135018,0.0,0.0,0.00625,0.33828125,0.65546875
burst,centered_full_action_dqn_preview_1p15,815,97.41791480436922,31.330241168290378,66.08767342224716,1.5908742355182768,18123.190352535246,1135.4305437624455,0.0,29.0,0.0,1.0,0.0,0.19287444427609443,0.0,0.0,0.0,0.38828125,0.61171875
burst,centered_full_action_dqn_preview_1p15,816,93.48378423683346,30.590829837322236,62.89295435331762,1.565449316194281,17527.03790330887,1080.814950287342,0.0,27.85,0.0,1.25,0.0,0.1906631827354431,0.0,0.0,0.0,0.35546875,0.64453125
