profile,comparison,model_seed,difference
heat_plus20,centered_full_action_dqn - mpc_h4,811,-13.827938240842826
heat_plus20,centered_full_action_dqn - mpc_h4,812,-12.857515913169493
heat_plus20,centered_full_action_dqn - mpc_h4,813,-13.166376890168294
heat_plus20,centered_full_action_dqn - mpc_h4,814,-11.312262504317971
heat_plus20,centered_full_action_dqn - mpc_h4,815,-12.848465402425262
heat_plus20,centered_full_action_dqn - mpc_h4,816,-13.659997369661824
heat_plus20,centered_full_action_dqn - mpc_h4,817,-15.122407752157386
heat_plus20,centered_full_action_dqn - mpc_h4,818,-12.629547016065715
heat_plus20,centered_full_action_dqn - mpc_h4,819,-10.905588249278125
link_minus20,centered_full_action_dqn - standard_dqn,800,0.252190152928236
link_minus20,centered_full_action_dqn - standard_dqn,801,-0.055444815754881915
link_minus20,centered_full_action_dqn - standard_dqn,802,-0.47001153975725174
link_minus20,centered_full_action_dqn - standard_dqn,803,-0.6884793422371303
link_minus20,centered_full_action_dqn - standard_dqn,804,-0.9209658338874647
link_minus20,centered_full_action_dqn - standard_dqn,805,-0.7380599748343144
link_minus20,centered_full_action_dqn - standard_dqn,806,-0.6341310775280107
link_minus20,centered_full_action_dqn - standard_dqn,807,0.21059494093060493
link_minus20,centered_full_action_dqn - standard_dqn,808,-1.420390338897704
link_minus20,centered_full_action_dqn - standard_dqn,809,-0.17495880641043016
link_minus20,centered_full_action_dqn - standard_dqn,810,-1.3424058523774107
link_minus20,centered_full_action_dqn - standard_dqn,811,-0.6557483687996779
link_minus20,centered_full_action_dqn - standard_dqn,812,0.05133668698370286
link_minus20,centered_full_action_dqn - standard_dqn,813,-0.03753128990531707
link_minus20,centered_full_action_dqn - standard_dqn,814,-0.779560037665064
link_minus20,centered_full_action_dqn - standard_dqn,815,-2.7632613342255326
link_minus20,centered_full_action_dqn - standard_dqn,816,-1.494483611360181
link_minus20,centered_full_action_dqn - standard_dqn,817,-0.262581036984912
link_minus20,centered_full_action_dqn - standard_dqn,818,-0.49622813344002736
link_minus20,centered_full_action_dqn - standard_dqn,819,-0.34555420614778143
link_minus20,centered_full_action_dqn - mpc_h4,800,-16.108746590729595
link_minus20,centered_full_action_dqn - mpc_h4,801,-15.720912352402465
link_minus20,centered_full_action_dqn - mpc_h4,802,-17.713053406469584
link_minus20,centered_full_action_dqn - mpc_h4,803,-17.962415121728284
link_minus20,centered_full_action_dqn - mpc_h4,804,-17.38953557994263
link_minus20,centered_full_action_dqn - mpc_h4,805,-16.144688159786952
link_minus20,centered_full_action_dqn - mpc_h4,806,-16.231908767275428
link_minus20,centered_full_action_dqn - mpc_h4,807,-14.862031351309867
link_minus20,centered_full_action_dqn - mpc_h4,808,-17.079855918926782
link_minus20,centered_full_action_dqn - mpc_h4,809,-16.919185107751545
link_minus20,centered_full_action_dqn - mpc_h4,810,-16.729235812483168
link_minus20,centered_full_action_dqn - mpc_h4,811,-16.51333260959487
link_minus20,centered_full_action_dqn - mpc_h4,812,-17.740198989428862
link_minus20,centered_full_action_dqn - mpc_h4,813,-16.730144068256436
link_minus20,centered_full_action_dqn - mpc_h4,814,-14.411994947371468
link_minus20,centered_full_action_dqn - mpc_h4,815,-16.734701245924498
link_minus20,centered_full_action_dqn - mpc_h4,816,-15.498406644267504
link_minus20,centered_full_action_dqn - mpc_h4,817,-17.326826247185707
link_minus20,centered_full_action_dqn - mpc_h4,818,-16.0797131316353
link_minus20,centered_full_action_dqn - mpc_h4,819,-14.211535720317528
reference,centered_full_action_dqn - standard_dqn,800,-0.04622095711529539
reference,centered_full_action_dqn - standard_dqn,801,-0.8578411029279209
reference,centered_full_action_dqn - standard_dqn,802,-0.2865457347780449
reference,centered_full_action_dqn - standard_dqn,803,-0.3697493113577366
reference,centered_full_action_dqn - standard_dqn,804,-1.218572477921839
reference,centered_full_action_dqn - standard_dqn,805,-0.7782092374563234
reference,centered_full_action_dqn - standard_dqn,806,-0.561005566865191
reference,centered_full_action_dqn - standard_dqn,807,0.019046115800733787
reference,centered_full_action_dqn - standard_dqn,808,-1.047955031394963
reference,centered_full_action_dqn - standard_dqn,809,0.18442571401595842
reference,centered_full_action_dqn - standard_dqn,810,-1.207174754813309
reference,centered_full_action_dqn - standard_dqn,811,-0.9564461238682327
reference,centered_full_action_dqn - standard_dqn,812,0.19575400516390573
reference,centered_full_action_dqn - standard_dqn,813,-0.15447655402124383
reference,centered_full_action_dqn - standard_dqn,814,-0.5078884333372145
reference,centered_full_action_dqn - standard_dqn,815,-3.0004750613868083
reference,centered_full_action_dqn - standard_dqn,816,-1.0228624565154263
reference,centered_full_action_dqn - standard_dqn,817,-0.5759782698005438
reference,centered_full_action_dqn - standard_dqn,818,-0.2917338198795818
reference,centered_full_action_dqn - standard_dqn,819,-0.8839371310174471
reference,centered_full_action_dqn - mpc_h4,800,-13.08170849982342
reference,centered_full_action_dqn - mpc_h4,801,-13.712113060094666
reference,centered_full_action_dqn - mpc_h4,802,-13.279615291929886
reference,centered_full_action_dqn - mpc_h4,803,-13.480319669401311
reference,centered_full_action_dqn - mpc_h4,804,-14.568856875316769
reference,centered_full_action_dqn - mpc_h4,805,-13.959844820283877
reference,centered_full_action_dqn - mpc_h4,806,-12.993451810756369
reference,centered_full_action_dqn - mpc_h4,807,-11.480053667018367
reference,centered_full_action_dqn - mpc_h4,808,-13.584772477904423
reference,centered_full_action_dqn - mpc_h4,809,-11.766296981560629
reference,centered_full_action_dqn - mpc_h4,810,-15.324498993609609
reference,centered_full_action_dqn - mpc_h4,811,-13.800586481096161
reference,centered_full_action_dqn - mpc_h4,812,-12.835600232626916
reference,centered_full_action_dqn - mpc_h4,813,-12.946271305071718
reference,centered_full_action_dqn - mpc_h4,814,-11.299218429395154
reference,centered_full_action_dqn - mpc_h4,815,-12.867816356011659
reference,centered_full_action_dqn - mpc_h4,816,-13.679803512185714
reference,centered_full_action_dqn - mpc_h4,817,-15.148984580366715
reference,centered_full_action_dqn - mpc_h4,818,-12.588168830353922
reference,centered_full_action_dqn - mpc_h4,819,-10.935696857211042
