scenario,policy,model_seed,mean_difference,dqn_total_cost,mpc_total_cost,n_traces
link_limited,centered_full_action_dqn,808,-13.550152223847252,104.03673204563559,117.58688426948284,20
link_limited,centered_full_action_dqn,809,-14.220735223213108,105.04896953299642,119.26970475620953,20
link_limited,centered_full_action_dqn,810,-13.372912957385267,100.7382151196152,114.11112807700047,20
link_limited,centered_full_action_dqn,811,-13.463449751632146,103.61597028382123,117.07942003545335,20
link_limited,centered_full_action_dqn,812,-14.812008559533329,99.83135680936277,114.6433653688961,20
link_limited,centered_full_action_dqn,813,-13.53505167444489,103.0313974931091,116.566449167554,20
link_limited,centered_full_action_dqn,814,-13.707306142539952,101.619360377118,115.32666651965795,20
link_limited,centered_full_action_dqn,815,-15.203285902345826,101.51939549222588,116.72268139457171,20
link_limited,centered_full_action_dqn,816,-13.167539009887648,97.97258393406868,111.14012294395631,20
link_limited,centered_full_action_dqn,817,-13.310730373694165,102.54974720858038,115.86047758227456,20
link_limited,centered_full_action_dqn,818,-12.25277836619286,101.26776764221489,113.52054600840775,20
link_limited,centered_full_action_dqn,819,-14.070342852079502,100.24961801096796,114.31996086304748,20
link_limited,double_centered_full_action_dqn,800,-14.431281216666275,101.91919717170298,116.35047838836927,20
link_limited,double_centered_full_action_dqn,801,-14.534995834729042,104.39128788553178,118.92628372026084,20
link_limited,double_centered_full_action_dqn,802,-15.512288420758448,101.16471273764968,116.67700115840812,20
link_limited,double_centered_full_action_dqn,803,-14.360385046011348,98.95341623306275,113.3138012790741,20
link_limited,double_centered_full_action_dqn,804,-13.42098108456791,102.00789561137557,115.42887669594347,20
link_limited,double_centered_full_action_dqn,805,-11.75417940436105,103.69864536747336,115.45282477183441,20
link_limited,double_centered_full_action_dqn,806,-14.297661259776135,101.23128025203944,115.52894151181556,20
link_limited,double_centered_full_action_dqn,807,-13.936094059522896,102.87647547207773,116.81256953160062,20
link_limited,double_centered_full_action_dqn,808,-13.627850521571384,103.95903374791146,117.58688426948284,20
link_limited,double_centered_full_action_dqn,809,-13.951453760558639,105.3182509956509,119.26970475620953,20
link_limited,double_centered_full_action_dqn,810,-13.342700613156044,100.76842746384442,114.11112807700047,20
link_limited,double_centered_full_action_dqn,811,-13.21110676941447,103.8683132660389,117.07942003545335,20
link_limited,double_centered_full_action_dqn,812,-15.075480298527452,99.56788507036865,114.6433653688961,20
link_limited,double_centered_full_action_dqn,813,-13.959814216916183,102.60663495063781,116.566449167554,20
link_limited,double_centered_full_action_dqn,814,-13.295581130773996,102.03108538888395,115.32666651965795,20
link_limited,double_centered_full_action_dqn,815,-14.814557176808165,101.90812421776354,116.72268139457171,20
link_limited,double_centered_full_action_dqn,816,-13.119874210271902,98.02024873368443,111.14012294395631,20
link_limited,double_centered_full_action_dqn,817,-13.189011025263534,102.67146655701102,115.86047758227456,20
link_limited,double_centered_full_action_dqn,818,-12.189755181058922,101.33079082734884,113.52054600840775,20
link_limited,double_centered_full_action_dqn,819,-14.373190809690584,99.94677005335689,114.31996086304748,20
link_limited,double_dqn,800,-15.026745692044667,101.32373269632458,116.35047838836927,20
link_limited,double_dqn,801,-13.611938611990178,105.31434510827064,118.92628372026084,20
link_limited,double_dqn,802,-15.043289807922443,101.63371135048568,116.67700115840812,20
link_limited,double_dqn,803,-13.369614524698397,99.94418675437569,113.3138012790741,20
link_limited,double_dqn,804,-13.400988044602277,102.02788865134121,115.42887669594347,20
link_limited,double_dqn,805,-12.325053179396196,103.12777159243822,115.45282477183441,20
