file,sha256,variant,model_seed,episodes,horizon,training_steps,state_dim,bellman_target,replay,training_wall_time_s,optimizer_updates,preview_calls,preview_action_evaluations
double_dqn__double__seed_804.pth,e246eaa9f7971a4b2e7292705fe73a0fed3d7a6627d786363f5ce27f300bd692,double_dqn,804,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,36.462952699977905,9569,0,0
double_dqn__double__seed_805.pth,40626b89480f94c3384941df49ffab019fa56821a13883df5d46f547d987362e,double_dqn,805,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.85104490001686,9569,0,0
double_dqn__double__seed_806.pth,0e04cee1c3bc24afa349cbe6acf003839237b83ccdfe28fef29139b4cde1e2aa,double_dqn,806,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.75890640006401,9569,0,0
double_dqn__double__seed_807.pth,396c050d3cfd0bff8333de8c8cf737ffabd28524a075b89b1523336b37ca6998,double_dqn,807,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.99343360005878,9569,0,0
double_dqn__double__seed_808.pth,c320f46be169e54137f8989cad162551bab1cc5d1bbd93a01d4396a2cc338c07,double_dqn,808,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,35.31055870000273,9569,0,0
double_dqn__double__seed_809.pth,d5a8fbd8a0e0178004921110bbe8a06a92b4f5a9add137eb2e0656cc0a965344,double_dqn,809,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,36.80195160000585,9569,0,0
double_dqn__double__seed_810.pth,bbb33d5325a442e7cd6d79405d540b0b44a93f4e643e7a18abae95621398d9c0,double_dqn,810,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.91768559999764,9569,0,0
double_dqn__double__seed_811.pth,fa414928ccd55fb18809dc9cb20c6a645f8a78e0f98ef39a92ab337b7e784c56,double_dqn,811,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.92386749992147,9569,0,0
double_dqn__double__seed_812.pth,9b1c830c2e2ea222f4a5f8bced54dfb561e5347e4ffb61abeeef886ef6e650de,double_dqn,812,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.95763530000113,9569,0,0
double_dqn__double__seed_813.pth,6adf540fc46df44aad8506f91741dbf05d4f34a67901dfc8a4ef1a537b9bd0df,double_dqn,813,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,36.61449459998403,9569,0,0
double_dqn__double__seed_814.pth,b6f962273074ec957f1acf9188056ce1903b29e3a9f91720c47f2181e26465cf,double_dqn,814,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,36.669647700036876,9569,0,0
double_dqn__double__seed_815.pth,6738489b3c18b29b539271dcc361f1ef913f24981f3252bab9cc70f04e15cfe8,double_dqn,815,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.815580099937506,9569,0,0
double_dqn__double__seed_816.pth,c2b084327f00dc650898d35c53418143d1bc4d2eb03e39f9c53748e0d980e95f,double_dqn,816,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,36.23116339999251,9569,0,0
double_dqn__double__seed_817.pth,15adf45bf85cca612a1e6482ca53466dcfd1152cc7ac8beeb7fff509fe61cc95,double_dqn,817,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,37.729542699991725,9569,0,0
double_dqn__double__seed_818.pth,1245c2aa4ba90c8a49ad4091dcef04b08ab19785f675f0392ed40023b264e86f,double_dqn,818,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,35.86063340003602,9569,0,0
double_dqn__double__seed_819.pth,ed9fa82e1b376d542b5c148dc1709aacc1980915fb981fbb9cde9ae5e95ba94e,double_dqn,819,600,64,38400,24,online_argmax_target_evaluation,uniform_one_step,34.301246499991976,9569,0,0
full_action_q_dqn__lambda_0p3_uncentered__seed_800.pth,f3777d824caacaad14f8fb6cd70e3a6d98d2c6ea1a7af9cd417d1b88694c56c6,full_action_q_dqn,800,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.68659930001013,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_801.pth,b8fd0dbad817a6e4682c30136341f1b1cdd4d0948c1887859c8905c3f667a2ea,full_action_q_dqn,801,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.954627199913375,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_802.pth,cf07d479b7fdf71ae73ba1332a5c244856f0861db5ec286cbe9f1a93ada72f9d,full_action_q_dqn,802,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.6637210000772,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_803.pth,d72f607106ff17c88421ce02d7091f101b588e45929df1167d9dc81055bc107f,full_action_q_dqn,803,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.99858650006354,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_804.pth,fe5a677c4a797bcd12dbc4664e3f34cbdc54ce6ac3f84871801fe086ea9eff20,full_action_q_dqn,804,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.933493299991824,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_805.pth,fbb5bbdb447bb0a12036738a77962091e7c5f36cb090f43559f16a2621ef0a84,full_action_q_dqn,805,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.64189099997748,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_806.pth,e59d667e645c7b56e415ff0b5ec3a425af7e008f65b5087f82d133c21196763a,full_action_q_dqn,806,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.29160829994362,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_807.pth,b29b54e500419ec674c5877156752ba0b3a66f3bc0a65e94eee4c2af1345e0cf,full_action_q_dqn,807,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,44.85333439998794,9569,38400,115200
full_action_q_dqn__lambda_0p3_uncentered__seed_808.pth,09a28d92fca677692f099518b4d71f7344c5e4968d10216025931c1902c0fff0,full_action_q_dqn,808,600,64,38400,24,target_network_max_not_double_dqn,uniform_one_step,45.31914370006416,9569,38400,115200
