policy,model_seed,trace_seed,scenario,environment_scenario,coupling,generator,compute_scale,data_scale,energy_scale,heat_scale,link_scale,total_cost,immediate_cost,penalty,energy_use,latency_ms,transmitted_mbit,thermal_violation,energy_violation,queue_violation,contact_violation,planning_time_ms,maximum_heat,minimum_energy,threshold_free_episode,onboard_fraction,ground_fraction,hybrid_fraction,profile
centered_full_action_dqn,800,3300007,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,74.20266991853714,27.077956333756447,47.12471368908882,1.4344597840681672,15372.80171585083,836.7225311398506,0.0,21.0,0.0,0.0,0.0,0.19123989343643188,0.0,0.0,0.0,0.3125,0.6875,reference
centered_full_action_dqn,800,3300008,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,97.22437529414893,30.994733802974224,66.22964159548283,1.546562196686864,17534.537879943848,910.2464807331562,0.0,29.0,0.0,2.0,0.0,0.19218049943447113,0.0,0.0,0.015625,0.25,0.734375,reference
centered_full_action_dqn,800,3300009,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,72.76051212996245,26.997918412089348,45.762593524158,1.4416126990690827,15398.840023040771,969.6743350028992,0.0,21.0,0.0,3.0,0.0,0.19006706774234772,0.0,0.0,0.0,0.359375,0.640625,reference
centered_full_action_dqn,800,3300010,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,79.59375187158585,28.166073501110077,51.427678444981574,1.4893117919564247,16447.006519317627,888.8771631717682,0.0,23.0,0.0,1.0,0.0,0.1899445503950119,0.0,0.0,0.0,0.3125,0.6875,reference
centered_full_action_dqn,800,3300011,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,75.75470162332059,28.36152897030115,47.39317236244678,1.5048942314460874,16057.60993385315,865.7782230377197,0.0,23.0,0.0,2.0,0.0,0.1897362321615219,0.0,0.0,0.0,0.21875,0.78125,reference
centered_full_action_dqn,800,3300012,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,81.28492795079947,28.557579778134823,52.72734844088554,1.5091702099889517,16550.134117126465,1021.9023370742798,0.0,26.0,0.0,2.0,0.0,0.18986129760742188,0.0,0.0,0.0,0.34375,0.65625,reference
centered_full_action_dqn,800,3300013,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,67.0403831705451,26.105975665152073,40.93440783321857,1.407442545518279,14225.146213531494,708.2520052194595,0.0,22.0,0.0,3.0,0.0,0.18972593545913696,0.0,0.0,0.0,0.203125,0.796875,reference
centered_full_action_dqn,800,3300014,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,71.90604912489653,27.458501994609833,44.44754748046398,1.4510142030194402,15344.70860671997,749.2597453594208,0.0,22.0,0.0,2.0,0.0,0.19111792743206024,0.0,0.0,0.0,0.21875,0.78125,reference
centered_full_action_dqn,800,3300015,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,86.65104134380817,29.391603752970695,57.25943832099438,1.529940185137093,16996.20029449463,1166.860607266426,0.0,26.0,0.0,1.0,0.0,0.19073110818862915,0.0,0.0,0.0,0.40625,0.59375,reference
centered_full_action_dqn,800,3300016,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,71.20319164693356,26.63544261455536,44.56774892807007,1.4502864088863134,15466.776763916016,979.0254130363464,0.0,21.0,0.0,1.0,0.0,0.19256873428821564,0.0,0.0,0.0,0.390625,0.609375,reference
centered_full_action_dqn,800,3300017,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,77.18327221423388,27.001522094011307,50.18174989670515,1.4542980138212442,15460.561618804932,897.5210515856743,0.0,26.0,0.0,1.0,0.0,0.19759902358055115,0.0,0.0,0.0,0.328125,0.671875,reference
centered_full_action_dqn,800,3300018,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,85.78737116605043,30.312069468200207,55.47530162334442,1.5429081115871668,17095.70561981201,802.6523094177246,0.0,26.0,0.0,2.0,0.0,0.18987779319286346,0.0,0.0,0.0,0.1875,0.8125,reference
centered_full_action_dqn,800,3300019,reference,nominal,1.0,physics_correlated,1.0,1.0,1.0,1.0,1.0,70.2021464407444,26.38351845741272,43.818628534674644,1.4147664420306683,14614.504997253418,749.7778689861298,0.0,22.0,0.0,1.0,0.0,0.19371718168258667,0.0,0.0,0.0,0.234375,0.765625,reference
immediate_argmin,800,3300000,compute_minus20,nominal,1.0,physics_correlated,0.8,1.0,1.0,1.0,1.0,86.22689486835465,25.30176390707493,60.925130521695465,1.6148849818855524,16872.788791656494,1424.6782351732254,0.0,29.0,1.0,1.0,0.0,0.1904359608888626,0.0,0.0,0.0,0.53125,0.46875,compute_minus20
immediate_argmin,800,3300001,compute_minus20,nominal,1.0,physics_correlated,0.8,1.0,1.0,1.0,1.0,76.21989062726497,24.02949059009552,52.19040011167526,1.4834411730989814,15067.803363800049,1474.09654378891,0.0,24.0,0.0,2.0,0.0,0.1921830028295517,0.0,0.0,0.0,0.59375,0.40625,compute_minus20
